"state","dem2012","rep2012","dem2008","rep2008","dem2004","rep2004","dem2000","rep2000","dem1996","rep1996","dem1992","rep1992","dem1988","rep1988","dem1984","rep1984","dem1980","rep1980","dem1976","rep1976","dem1972","rep1972","dem1968","rep1968","dem1964","rep1964","dem1960","rep1960","X.3","dem1956","rep1956","dem1952","rep1952","diff2012","diff2008","diff2004","diff2000","diff1996","diff1992","diff1988","diff1984","diff1980","diff1976","diff1972","diff1968","diff1964","diff1960","diff1956","diff1952","pvi2012","pvi2008","pvi2004","pvi2000","pvi1996","pvi1992","pvi1988","pvi1984","pvi1980","pvi1976","pvi1972","pvi1968","pvi1964","pvi1960","pvi1956","pvi1952","postal"
"Alabama",38.36,60.55,38.74,60.32,36.84,62.46,41.59,56.47,43.16,50.12,40.88,47.65,39.86,59.17,38.28,60.54,47.45,48.75,55.73,42.61,25.54,72.43,18.72,13.99,0,69.45,56.39,42.16,"0.00%",56.54,39.4,64.55,35.02,-22.19,-21.58,-25.62,-14.88,-6.96,-6.77,-19.31,-22.26,-1.3,13.12,-46.89,4.73,-69.45,14.23,17.14,29.53,-13.1814448977675,-14.5838680899121,-11.6578778723794,-7.8521265803338,-8.4611090399946,-7.27869561946964,-5.85136845376317,-2.09648726614033,4.63164777680907,5.6207851559123,-12.1424256536419,7.63652013100044,-61.3444533762058,7.13406037590392,16.6838238901662,20.2804770794791,"AL"
"Alaska",40.81,54.8,37.89,59.42,35.52,61.07,27.67,58.62,33.27,50.8,30.29,39.46,36.27,59.59,29.87,66.65,26.41,54.35,35.65,57.9,34.62,58.13,42.65,45.28,65.91,34.09,49.06,50.94,"0.00%",NA,NA,NA,NA,-13.99,-21.53,-25.55,-30.95,-17.53,-9.17,-23.32,-36.78,-27.94,-22.25,-23.51,-2.63,31.82,-1.88,NA,NA,-9.2803569899964,-14.7540631345121,-11.9835825905812,-18.1986469666618,-15.1562413941689,-10.0286096878433,-8.2653694922951,-9.88663102046037,-11.990843957124,-12.9419853758014,-0.885484959711486,-1.08919248961441,4.56554662379421,-1.0256250629596,NA,NA,"AK"
"Arizona",44.45,53.48,44.91,53.39,44.37,54.83,44.67,50.95,46.52,44.29,36.52,38.47,38.74,59.95,32.54,66.42,28.24,60.61,39.8,56.37,30.38,61.64,35.02,54.78,49.45,50.45,44.36,55.52,"0.00%",38.9,60.99,41.65,58.35,-9.02999999999999,-8.48,-10.46,-6.28,2.23,-1.95,-21.21,-33.88,-32.37,-16.57,-31.26,-19.76,-1,-11.16,-22.09,-16.7,-6.57461269986253,-8.00480618984191,-4.02975317693059,-3.54876689927935,-3.5025674371947,-4.75530634178185,-6.84756719816099,-7.9516125054844,-12.9087710888771,-9.66490171954883,-5.19706846054425,-10.5959118708189,-11.8449538767063,-5.67232910781343,-3.30600523874027,-2.89828660436138,"AZ"
"Arkansas",36.88,60.57,38.86,58.72,44.55,54.31,45.86,51.31,53.74,36.8,53.21,35.48,42.19,56.37,38.29,60.47,47.52,48.13,64.94,34.93,30.71,68.82,30.33,31.01,56.06,43.41,50.19,43.06,"0.00%",52.46,45.82,55.9,43.76,-23.69,-19.86,-9.76000000000001,-5.45,16.94,17.73,-14.18,-22.18,-0.609999999999999,30.01,-38.11,-0.680000000000003,12.65,7.13,6.64,12.14,-14.1191279311848,-13.8677452666711,-3.69384927568218,-3.06929855160791,4.62457544277907,6.54035692333633,-3.29538527898077,-2.06282762797498,4.98845256905557,13.9745828598585,-7.35661192491154,-0.147972276763914,-4.98575226029144,3.73743123730849,11.1292610185302,11.5424218042278,"AR"
"California",60.24,37.12,60.94,36.91,54.31,44.36,53.45,41.65,51.1,38.21,46.01,32.61,47.56,51.13,41.27,57.51,35.91,52.69,47.57,49.35,41.54,55,44.74,47.82,59.11,40.79,49.55,50.1,"0.00%",44.27,55.39,42.27,56.83,23.12,24.03,9.95,11.8,12.89,13.4,-3.57,-16.24,-16.78,-1.78,-13.46,-3.08,18.32,-0.550000000000004,-11.12,-14.56,9.90928265208214,8.58751882857283,6.28448363230972,5.93906072896609,2.48603134811144,5.06687159365321,2.08950849339845,0.946127472775843,-4.16220250688321,-1.96823215169946,4.81716584157084,-1.25747035187637,-2.17528420703662,-0.361590943541645,2.17218914755105,-1.89440163967923,"CA"
"Colorado",51.49,46.13,53.66,44.71,47.02,51.69,42.39,50.75,44.43,45.8,40.13,35.87,45.28,53.06,35.12,63.44,31.07,55.07,42.58,54.05,34.59,62.61,41.32,50.46,61.27,38.19,44.91,54.63,"0.00%",39.81,59.49,38.96,60.27,5.36,8.95,-4.66999999999999,-8.36,-1.37,4.26000000000001,-7.78,-28.32,-24,-11.47,-28.02,-9.14,23.08,-9.72000000000001,-19.68,-21.31,0.781162395732871,0.857671525504189,-1.1230909029511,-4.75280279093893,-5.48957678841491,-0.652501406386952,-0.0574616394212191,-5.20046813651465,-8.62348685631489,-6.98495886291573,-2.62521075918571,-4.5729830214012,0.258200957194576,-4.96808437579866,-2.15820791848557,-5.2859667414167,"CO"
"Connecticut",58.06,40.72,60.59,38.22,54.31,43.95,55.91,38.44,52.83,34.69,42.21,35.78,46.87,51.98,38.83,60.73,38.52,48.16,46.9,52.06,40.13,58.57,49.48,44.32,67.81,32.09,53.73,46.27,"0.00%",36.26,63.72,43.91,55.7,17.34,22.37,10.36,17.47,18.14,6.43,-5.11,-21.9,-9.63999999999999,-5.16,-18.44,5.16,35.72,7.45999999999999,-27.46,-11.79,6.812903706514,7.62822484488332,6.51415231081422,8.99314654608771,5.63293974003433,0.667190389457317,1.31347805356428,-1.83197794851864,-0.253359519365742,-3.65706301704908,2.44693078458704,3.15684834971384,6.53342450167209,3.6443749370404,-5.98158890888304,-0.466367118365996,"CT"
"Delaware",58.61,39.98,61.91,36.93,53.35,45.75,54.96,41.9,51.82,36.58,43.52,35.33,43.48,55.88,39.93,59.78,44.87,47.21,51.98,46.57,39.18,59.6,41.61,45.12,60.95,38.78,50.63,49,"0.00%",44.62,55.09,47.88,51.75,18.63,24.98,7.6,13.06,15.24,8.19,-12.4,-19.85,-2.34,5.41,-20.42,-3.51,22.17,1.63,-10.47,-3.87,7.48404322646857,8.94510474032544,5.07693483778247,6.4767539707866,3.88950372127299,1.73827221441204,-2.34173320440478,-0.787451231646374,4.03668922138135,1.69485056251426,1.45226906254058,-1.61720597224261,-0.229442847779038,0.732401635825908,2.50093198602906,3.50952730711108,"DE"
"District of Columbia",90.91,7.28,92.46,6.53,89.18,9.34,85.16,8.95,85.19,9.34,84.64,9.1,82.65,14.3,85.38,13.73,74.89,13.41,81.63,16.51,78.1,21.56,81.82,18.18,85.5,14.5,NA,NA,NA,NA,NA,NA,NA,83.63,85.93,79.84,76.21,75.85,75.54,68.35,71.65,61.48,65.12,56.54,63.64,71,NA,NA,NA,40.6216263608024,39.7118944397211,41.7621156756358,40.2249172355643,35.3891329897712,36.8371648597692,39.1483313157963,45.3131206609254,40.1204604853273,32.1271449158216,40.1548154038427,32.2263153006733,24.1555466237942,NA,NA,NA,"DC"
"Florida",50.01,49.13,50.91,48.1,47.09,52.1,48.84,48.85,48.02,42.32,39,40.89,38.51,60.87,34.66,65.32,38.5,55.52,51.93,46.64,27.8,71.91,30.93,40.53,51.15,48.85,48.49,51.51,"0.00%",42.73,57.27,44.97,54.99,0.879999999999995,2.81,-5.01,-0.00999999999999801,5.7,-1.89,-22.36,-30.66,-17.02,5.29,-44.11,-9.6,2.3,-3.02,-14.54,-10.02,-1.5203598494375,-2.27243105751714,-1.28303195275672,-0.27005329607438,-1.57565705395822,-4.63800944046012,-7.35154605697315,-6.1666516329542,-3.74394223566672,1.63342319118543,-10.330776034286,-6.3107291997465,-10.1944533762058,-1.5956250629596,0.481157640426816,0.439708593717852,"FL"
"Georgia",45.48,53.3,46.9,52.1,41.37,57.97,42.98,54.67,45.84,47.01,43.47,42.88,39.5,59.75,39.79,60.17,55.76,40.95,66.74,32.96,24.65,75.04,26.75,30.4,45.87,54.12,62.54,37.43,"0.00%",66.48,32.65,69.66,30.34,-7.82,-5.2,-16.6,-11.69,-1.16999999999999,0.589999999999996,-20.25,-20.38,14.81,33.78,-50.39,-3.65,-8.25,25.11,33.83,39.32,-5.92246782618493,-6.31774226473119,-7.11271970764623,-6.25059814737235,-5.360454246256,-3.11350009593073,-6.3033089516557,-1.02766265068395,12.9642358710557,15.8908734358018,-13.4849778891404,-2.78703553047278,-15.4698659174599,12.4731425673295,24.8146096731112,25.1117133956386,"GA"
"Hawaii",70.55,27.84,71.85,26.58,54.01,45.26,55.79,37.46,56.93,31.64,48.09,36.7,54.27,44.75,43.82,55.1,44.8,42.9,50.59,48.06,37.52,62.48,59.83,38.7,78.76,21.24,50.03,49.97,"0.00%",NA,NA,NA,NA,42.71,45.27,8.75,18.33,25.29,11.39,9.52,-11.28,1.9,2.53,-24.96,21.13,57.52,0.0600000000000023,NA,NA,19.7402648341535,19.3045581548871,5.64959660063921,9.56348316562793,9.54643739390048,3.26146095263007,8.70531205817007,3.46483794842347,6.39056176491348,0.232362169616018,-0.691630512272129,11.1289378521805,17.4155466237942,-0.0556250629596078,NA,NA,"HI"
"Idaho",32.62,64.52,35.91,61.21,30.26,68.38,27.64,67.17,33.65,52.18,28.42,42.03,36.01,62.08,26.39,72.36,25.19,66.46,37.12,59.88,26.04,64.24,30.66,56.79,50.92,49.08,46.22,53.78,"0.00%",38.78,61.17,34.42,65.42,-31.9,-25.3,-38.12,-39.53,-18.53,-13.61,-26.07,-45.97,-41.27,-22.76,-38.2,-26.13,1.84,-7.56,-22.39,-31,-18.3837772506174,-16.7166031969529,-18.0803657008037,-21.1118921369739,-15.5249997458036,-13.1144658455188,-9.39061400975147,-14.1095343867201,-17.2076792752839,-12.781907794487,-9.36803281621542,-14.5336503940094,-10.4244533762058,-3.8656250629596,-3.44944265972326,-10.0731263479511,"ID"
"Illinois",57.6,40.73,61.85,36.74,54.82,44.48,54.6,42.58,54.32,36.81,48.58,34.34,48.6,50.69,43.3,56.17,41.72,49.65,48.13,50.1,40.51,59.03,44.15,47.08,59.47,40.53,49.98,49.8,"0.00%",40.29,59.52,44.94,54.84,16.87,25.11,10.34,12.02,17.51,14.24,-2.09,-12.87,-7.93,-1.97,-18.52,-2.93,18.94,0.18,-19.23,-9.90000000000001,6.61408021593421,9.04307761885976,6.44886935823492,5.91946501738639,4.87674883329784,5.13145649850553,2.8457298282154,2.69712775809039,0.967824711103538,-2.05269768272532,2.48557664063123,-1.19951611443135,-1.87445337620579,0.00457337360082466,-1.88214563579801,0.490799384814811,"IL"
"Indiana",43.93,54.13,49.87,48.84,39.26,59.94,41.01,56.65,41.55,47.13,36.79,42.91,39.69,59.84,37.68,61.67,37.65,56.01,45.7,53.32,33.34,66.11,37.99,50.29,55.98,43.56,44.6,55.03,"0.00%",39.7,59.9,40.99,58.11,-10.2,1.02999999999999,-20.68,-15.64,-5.58000000000001,-6.12,-20.15,-23.99,-18.36,-7.62,-32.77,-12.3,12.42,-10.43,-20.2,-17.12,-7.16507408387899,-3.16974931732583,-9.18096285434995,-8.27230758183042,-7.87654921806658,-7.29453072686506,-6.22437372434932,-2.90706262406031,-4.49408590049412,-4.89765656543196,-4.68724639965272,-6.56015502103034,-5.10575536535588,-5.319992221446,-2.38940460856916,-3.18602626127358,"IN"
"Iowa",51.99,46.18,53.93,44.39,49.23,49.9,48.54,48.22,50.26,39.92,43.29,37.27,54.71,44.5,45.89,53.27,38.6,51.31,48.46,49.47,40.48,57.61,40.82,53.01,61.88,37.92,43.22,56.71,"0.00%",40.65,59.06,35.59,63.75,5.81,9.54,-0.670000000000002,0.32,10.34,6.02,10.21,-7.38,-12.71,-1.01,-17.13,-12.19,23.96,-13.49,-18.41,-28.16,0.994975816447707,1.16002565038417,0.904484163739683,-0.0995774791558213,1.00257270648005,0.281212595599145,9.04385302341334,5.44515640836363,-1.76085583791677,-1.56562349295035,3.05659254818255,-6.08947495830568,0.659554639826276,-6.83534987032476,-1.48061449877688,-8.72183200399898,"IA"
"Kansas",37.99,59.71,41.57,56.5,36.62,62,37.24,58.04,36.08,54.29,33.74,38.88,42.56,55.79,32.6,66.27,33.29,57.85,44.94,52.49,29.5,67.66,34.72,54.84,54.09,45.06,39.1,60.45,"0.00%",34.21,65.44,30.5,68.77,-21.72,-14.93,-25.38,-20.8,-18.21,-5.14,-13.23,-33.67,-24.56,-7.55,-38.16,-20.12,9.03,-21.35,-31.23,-38.27,-13.0798368583673,-11.3033894987724,-11.6251482580828,-11.1801323781173,-14.8056519910149,-6.99410296605588,-2.82777626432993,-7.86099474957995,-8.16645315493242,-4.92452565071157,-7.84934150444998,-10.8263778659189,-6.79074687091078,-10.8088797088662,-7.91868681516776,-13.8239993070913,"KS"
"Kentucky",37.8,60.49,41.15,57.37,39.69,59.55,41.37,56.5,45.84,44.88,44.55,41.34,43.88,55.52,39.37,60.04,47.61,49.07,52.75,45.57,34.77,63.37,37.65,43.79,64.01,35.65,46.41,53.59,"0.00%",45.21,54.3,49.91,49.84,-22.69,-16.22,-19.86,-15.13,0.960000000000001,3.20999999999999,-11.64,-20.67,-1.46,7.18,-28.6,-6.14,28.36,-7.18000000000001,-9.09,0.0699999999999932,-13.5065512798883,-11.9233107387528,-8.76362170678979,-7.99457642592414,-4.20130525188891,-1.58646375725189,-1.95692840135135,-1.22992341617111,4.55225518603873,2.6013935233223,-2.78265150269398,-3.36333106474907,2.88392310382632,-3.67562506295961,3.18377747762912,5.48680111493687,"KY"
"Louisiana",40.58,57.78,39.93,58.56,42.22,56.72,44.88,52.55,52.01,39.94,45.58,40.97,44.06,54.27,38.18,60.77,45.75,51.2,51.73,45.95,28.35,65.32,28.21,23.47,43.19,56.81,50.42,28.59,"20.99%",39.51,53.28,52.92,47.08,-17.2,-18.63,-14.5,-7.66999999999999,12.07,4.61,-10.21,-22.59,-5.45,5.77999999999999,-36.97,4.74,-13.62,21.83,-13.77,5.84,-10.7075682967407,-13.1492926144052,-6.08524909495195,-4.20109435878707,1.8329438655576,-0.791932523173722,-1.29349903025035,-2.24844100750419,2.49659627352651,1.90869142704004,-7.94580367336959,4.99222861336683,-18.1544533762058,13.7290819361544,0.331177039068914,8.37171339563863,"LA"
"Maine",56.27,40.98,57.71,40.38,53.57,44.58,49.09,43.97,51.62,30.76,38.77,30.39,43.88,55.34,38.78,60.83,42.25,45.61,48.07,48.91,38.48,61.46,55.3,43.07,68.84,31.16,42.95,57.05,"0.00%",29.13,70.87,33.77,66.05,15.29,17.33,8.99,5.12,20.86,8.38,-11.46,-22.05,-3.36,-0.839999999999996,-22.98,12.23,37.68,-14.1,-41.74,-32.28,5.89700584515035,5.14224449243162,5.82214915327497,2.48597832427619,7.93043422872165,2.60328228360728,-1.87684297040242,-1.90175086643406,3.39519051371852,-1.4830280169582,0.291471348844535,6.62264141635899,7.49554662379421,-7.1356250629596,-13.1188423595732,-10.7173909922596,"ME"
"Maryland",61.97,35.9,61.92,36.47,55.91,42.93,56.57,40.18,54.25,38.27,49.8,35.62,48.2,51.11,47.02,52.51,47.14,44.18,53.04,46.96,37.36,61.26,43.59,41.94,65.47,34.53,53.61,46.39,"0.00%",39.96,60.04,43.83,55.36,26.07,25.45,12.98,16.39,15.98,14.18,-2.91,-5.48999999999999,2.96,6.08,-23.9,1.65000000000001,30.94,7.22,-20.08,-11.53,11.3545113814541,9.24174528276327,7.80859178592889,8.20534917279103,3.90556481996169,4.84503091070877,2.43309312950532,6.40845255697854,6.9279980035141,1.99005096839959,-0.328848115192437,1.37088913441588,4.12554662379421,3.5243749370404,-2.28884235957318,-0.36036443478783,"MD"
"Massachusetts",60.65,37.51,61.8,35.99,61.94,36.78,59.8,32.5,61.47,28.09,47.54,29.03,53.23,45.38,48.43,51.22,41.75,41.9,56.11,40.44,54.2,45.23,63.01,32.89,76.19,23.44,60.22,39.55,"0.00%",40.37,59.32,45.46,54.22,23.14,25.81,25.16,27.3,33.38,18.51,7.84999999999999,-2.79,-0.149999999999999,15.67,8.97000000000001,30.12,52.75,20.67,-18.95,-8.76,9.82270189147732,9.50516623534267,13.9855360738667,14.5237973294311,13.9051458045398,8.6318462493529,7.87852892224747,7.76651533159777,5.21766415780452,7.06501730708422,16.29908054073,16.1101734862833,15.1284965384785,10.2732002352262,-1.75330619747067,1.05765240045403,"MA"
"Michigan",54.21,44.71,57.33,40.89,51.23,47.81,51.28,46.14,51.69,38.48,43.77,36.38,45.67,53.57,40.24,59.23,42.5,48.99,46.44,51.83,41.81,56.2,48.18,41.46,66.7,33.1,50.85,48.84,"0.02%",44.15,55.63,43.97,55.44,9.5,16.44,3.41999999999999,5.14,13.21,7.39,-7.9,-18.99,-6.49,-5.39,-14.39,6.72,33.6,2.01,-11.48,-11.47,2.83768341483092,4.67748798523333,2.9689993635874,2.37312693465433,2.59464689728494,1.15497306581976,-0.0820475158772871,-0.379176655300573,1.76048773273395,-3.79239331775081,4.44728184360992,4.15464194056623,5.48921395846355,0.92250012512346,1.99850179757254,-0.317323924550489,"MI"
"Minnesota",52.65,44.96,54.06,43.82,51.09,47.61,47.91,45.5,51.1,34.96,43.48,31.85,52.91,45.9,49.72,49.54,46.5,42.56,54.9,42.02,46.07,51.58,54,41.46,63.76,36,50.58,49.16,"0.00%",46.08,53.68,44.11,55.33,7.69,10.24,3.48,2.41,16.14,11.63,7.01,0.18,3.94,12.88,-5.51,12.54,27.76,1.42,-7.6,-11.22,1.97496890521652,1.5394153349683,3.00534217555494,1.02507671110604,4.6467729315367,4.26423512829902,7.44541420402282,9.25708594551053,7.51931536804728,5.59470635428486,8.96706892449182,6.97451140375314,2.56893876493295,0.626225749151887,3.94201569976925,-0.189879524715358,"MN"
"Mississippi",43.79,55.29,43,56.18,39.75,59.44,40.7,57.62,44.08,49.21,40.77,49.68,39.07,59.89,37.46,61.85,48.09,49.42,49.56,47.68,19.63,78.2,23.02,13.52,12.86,87.14,36.34,24.67,"38.99%",58.23,24.46,60.44,39.56,-11.5,-13.18,-19.69,-16.92,-5.13,-8.91,-20.82,-24.39,-1.33,1.88,-58.57,9.5,-74.28,11.67,33.77,20.88,-7.76756787316095,-10.3359644136248,-8.68297146278798,-8.86949161497574,-7.47989661601999,-8.38050611966267,-6.62119939513947,-3.1133151575834,4.62534211723708,-0.0832686531553217,-18.1462109068341,13.4057679552984,-48.4844533762058,9.47838083771242,28.1707972582766,15.8917133956386,"MS"
